Architecture,Score
[2],0.9948664510668641
[3],0.9923458014844423
[4],0.9900769922211689
[5],0.9889898718057961
[6],0.9887681235218381
[7],0.9903581481229257
[8],0.9900658648162585
[9],0.9901267172644486
[10],0.9925675447762218
[11],0.992933956084054
[12],0.9974496469199254
[13],0.9949858002657924
[14],1.0003309699087044
[15],1.004190739597527
[16],1.0006759508286114
[17],0.9996301670387215
[18],1.0017048092472858
[19],1.0156616412711033
[20],1.0090796456479791
"[2, 2]",1.002603285263331
"[3, 3]",0.9974453410149343
"[4, 4]",0.988630115841833
"[5, 5]",0.9899476816134977
"[6, 6]",0.9891130799800835
"[7, 7]",0.9883867101474039
"[8, 8]",0.9875298540310493
"[9, 9]",0.9873255644931875
"[10, 10]",0.9866071451405076
"[11, 11]",0.9877841819755891
"[12, 12]",0.9885501212933313
"[13, 13]",0.9877911340796279
"[14, 14]",0.9893228826896111
"[15, 15]",0.9890996939001332
"[16, 16]",0.9894455447886045
"[17, 17]",0.9886408029870019
"[18, 18]",0.9904960698214919
"[19, 19]",0.9930664918294924
"[20, 20]",0.9905743400885457
"[2, 2, 2]",0.998060884570482
"[3, 3, 3]",1.0026449332476188
"[4, 4, 4]",0.9992643809807872
"[5, 5, 5]",0.9915284791130217
"[6, 6, 6]",0.9991885758735067
"[7, 7, 7]",0.9908643005055713
"[8, 8, 8]",0.9907585648964993
"[9, 9, 9]",0.9872936601047961
"[10, 10, 10]",0.9871000225722292
"[11, 11, 11]",0.9878715564744235
"[12, 12, 12]",0.9880272609686394
"[13, 13, 13]",0.986968448518044
"[14, 14, 14]",0.9874352410918532
"[15, 15, 15]",0.986496844128371
"[16, 16, 16]",0.9878624322120141
"[17, 17, 17]",0.9866772381259187
"[18, 18, 18]",0.9877987358638322
"[19, 19, 19]",0.9875378205540267
"[20, 20, 20]",0.9903763403408903
