,Architecture,Score
0,[2],0.9948664510668641
1,[3],0.9923458014844423
2,[4],0.9900769922211689
3,[5],0.9889898718057961
4,[6],0.9887681235218381
5,[7],0.9903581481229257
6,[8],0.9900658648162585
7,[9],0.9901267172644486
8,[10],0.9925675447762218
9,[11],0.992933956084054
10,[12],0.9974496469199254
11,[13],0.9949858002657924
12,[14],1.0003309699087044
13,[15],1.004190739597527
14,[16],1.0006759508286114
15,[17],0.9996301670387215
16,[18],1.0017048092472858
17,[19],1.0156616412711033
18,[20],1.0090796456479791
19,"[2, 2]",1.002603285263331
20,"[3, 3]",0.9974453410149343
21,"[4, 4]",0.988630115841833
22,"[5, 5]",0.9899476816134977
23,"[6, 6]",0.9891130799800835
24,"[7, 7]",0.9883867101474039
25,"[8, 8]",0.9875298540310493
26,"[9, 9]",0.9873255644931875
27,"[10, 10]",0.9866071451405076
28,"[11, 11]",0.9877841819755891
29,"[12, 12]",0.9885501212933313
30,"[13, 13]",0.9877911340796279
31,"[14, 14]",0.9893228826896111
32,"[15, 15]",0.9890996939001332
33,"[16, 16]",0.9894455447886045
34,"[17, 17]",0.9886408029870019
35,"[18, 18]",0.9904960698214919
36,"[19, 19]",0.9930664918294924
37,"[20, 20]",0.9905743400885457
38,"[2, 2, 2]",0.998060884570482
39,"[3, 3, 3]",1.0026449332476188
40,"[4, 4, 4]",0.9992643809807872
41,"[5, 5, 5]",0.9915284791130217
42,"[6, 6, 6]",0.9991885758735067
43,"[7, 7, 7]",0.9908643005055713
44,"[8, 8, 8]",0.9907585648964993
45,"[9, 9, 9]",0.9872936601047961
46,"[10, 10, 10]",0.9871000225722292
47,"[11, 11, 11]",0.9878715564744235
48,"[12, 12, 12]",0.9880272609686394
49,"[13, 13, 13]",0.986968448518044
50,"[14, 14, 14]",0.9874352410918532
51,"[15, 15, 15]",0.986496844128371
52,"[16, 16, 16]",0.9878624322120141
53,"[17, 17, 17]",0.9866772381259187
54,"[18, 18, 18]",0.9877987358638322
55,"[19, 19, 19]",0.9875378205540267
56,"[20, 20, 20]",0.9903763403408903
