Regularization2, RMSE
0.01,   0.983452438264128
0.02,   0.984109132806376
0.03,   0.983875120355544
0.04,   0.983225342033837
0.05,   0.982813799902558
0.06,   0.983523411390759
0.07,   0.984007874935905
0.08,   0.983276240349606
0.09,   0.98366942921079
0.1,    0.984063257570369
0.11,   0.984102406333344
0.12,   0.983320362451879
0.13,   0.984311159027918
0.14,   0.983800923245563
0.15,   0.984836805361882
0.16,   0.984185837688957
0.17,   0.984591922196886
0.18,   0.984532737119821
0.19,   0.985174295078548
0.2,    0.984847405655317
